7 1:18.000000 2:98.000000 3:3.141593 4:0.590553 5:337.000000 6:0.518503 7:0.025801 8:-0.260829 9:-0.071103 10:0.125104 11:-0.015096 12:0.044956 13:0.050025 14:0.012391 15:-0.431622 16:0.053836 17:-0.331731 18:0.775671 19:12206.801603 20:7275.850528 21:16020.000000 22:7275.850528 23:16020.000000 24:0.166526 25:0.000000 26:0.653691 27:0.068560 28:0.047065 29:0.000005 30:0.001833 31:0.000005 32:0.001157 33:0.009786 34:0.051372
7 1:2.000000 2:253.000000 3:3.141593 4:0.075438 5:0.000000 6:0.000000 7:0.395337 8:-0.414024 9:0.841087 10:0.496280 11:1.088769 12:-0.651091 13:0.445547 14:-1.036548 15:0.584431 16:-0.666227 17:2.009177 18:0.819575 19:679.695986 20:658.873916 21:532.000000 22:658.873916 23:532.000000 24:0.137137 25:0.000346 26:0.060229 27:0.800611 28:0.000861 29:0.000000 30:0.000586 31:0.000220 32:0.000000 33:0.000010 34:0.000000
7 1:2.000000 2:274.000000 3:3.141593 4:0.110177 5:0.000000 6:0.000000 7:0.559091 8:0.165324 9:-0.005460 10:0.016030 11:0.288647 12:-0.239787 13:-0.177156 14:0.679014 15:0.048898 16:0.328490 17:-0.202553 18:0.759660 19:3378.355768 20:3424.261866 21:3106.000000 22:3424.261866 23:3106.000000 24:0.142456 25:0.000000 26:0.000000 27:0.507867 28:0.000720 29:0.000000 30:0.000075 31:0.000000 32:0.000000 33:0.348882 34:0.000000
7 1:12.000000 2:7.000000 3:3.124139 4:0.455748 5:248.000000 6:0.133804 7:0.219032 8:-0.231770 9:-0.546335 10:-0.386189 11:-0.497960 12:0.395565 13:-0.422948 14:-1.007777 15:0.092421 16:-0.251392 17:0.314935 18:0.748249 19:682.227789 20:506.391667 21:679.000000 22:506.391667 23:679.000000 24:0.034730 25:0.004615 26:0.276445 27:0.446100 28:0.140050 29:0.000000 30:0.014875 31:0.000545 32:0.000535 33:0.082105 34:0.000000
7 1:6.000000 2:50.000000 3:3.036873 4:0.266571 5:235.000000 6:0.143823 7:0.559091 8:-0.239406 9:-0.124510 10:-0.199809 11:0.098435 12:0.632180 13:0.016853 14:0.145859 15:0.160853 16:0.206877 17:0.154134 18:0.805209 19:9338.786461 20:7616.817474 21:15355.000000 22:7616.817474 23:15355.000000 24:0.664583 25:0.000015 26:0.078306 27:0.000940 28:0.011156 29:0.012626 30:0.005905 31:0.003565 32:0.036158 33:0.093662 34:0.093082
7 1:4.000000 2:120.000000 3:3.124139 4:0.233962 5:223.000000 6:0.116459 7:0.277156 8:-1.616568 9:0.887662 10:1.563130 11:1.195869 12:-1.704943 13:-0.415665 14:-0.841614 15:-2.267562 16:1.895134 17:3.146639 18:0.738892 19:7368.401561 20:7996.846842 21:9290.000000 22:7996.846842 23:9290.000000 24:0.034138 25:0.000000 26:0.000000 27:0.553554 28:0.000000 29:0.000000 30:0.000000 31:0.000000 32:0.000000 33:0.412309 34:0.000000
7 1:25.000000 2:-47.000000 3:1.605703 4:1.352605 5:180.000000 6:0.160320 7:0.559091 8:-0.123309 9:0.190927 10:0.278867 11:0.189347 12:0.363107 13:0.333665 14:-0.304517 15:-0.104405 16:-0.164719 17:-0.582159 18:0.748889 19:3491.709809 20:3148.652324 21:3193.000000 22:3148.652324 23:3193.000000 24:0.367976 25:0.003767 26:0.010147 27:0.482999 28:0.099700 29:0.000000 30:0.000120 31:0.000000 32:0.000000 33:0.021803 34:0.013489
7 1:4.000000 2:177.000000 3:3.141593 4:0.093442 5:0.000000 6:0.000000 7:0.559091 8:0.070530 9:-0.014745 10:0.480633 11:-0.417700 12:0.624035 13:1.053911 14:0.589525 15:0.187996 16:-0.229318 17:-0.051897 18:0.775663 19:936.857244 20:389.676859 21:1245.000000 22:389.676859 23:1245.000000 24:0.532210 25:0.006970 26:0.046277 27:0.003910 28:0.330024 29:0.000045 30:0.000000 31:0.000000 32:0.000195 33:0.000000 34:0.080370
7 1:2.000000 2:255.000000 3:3.141593 4:0.106239 5:534.000000 6:0.118306 7:0.559091 8:1.093132 9:1.127126 10:1.627962 11:1.310151 12:-1.081944 13:2.761700 14:1.109983 15:1.612672 16:1.828479 17:1.658846 18:0.671692 19:3990.950826 20:3480.736773 21:4982.000000 22:3480.736773 23:4982.000000 24:0.134956 25:0.000000 26:0.418354 27:0.002350 28:0.378144 29:0.030230 30:0.000065 31:0.000035 32:0.004610 33:0.001455 34:0.029800
7 1:4.000000 2:146.000000 3:3.141593 4:0.217968 5:206.000000 6:0.160649 7:0.559091 8:-0.310198 9:0.032144 10:-0.291305 11:-0.112544 12:0.272807 13:0.271042 14:-0.436498 15:-0.480529 16:-0.244161 17:0.053701 18:0.775244 19:21227.527901 20:22517.662955 21:18965.000000 22:22517.662955 23:18965.000000 24:0.293986 25:0.056184 26:0.005080 27:0.015620 28:0.444204 29:0.000100 30:0.009499 31:0.000335 32:0.082068 33:0.092348 34:0.000576
